Donald Trump  Budget Worksheet,,,,,,,,,,,,,,,
Monthly Estimate,,,,,,,,,,,,,,,
Income,January,February,March,April,May,June,July,August,September,October,November,December,Total,,
 Wages ," $1,417.12 "," $1,417.12 "," $1,417.12 "," $1,417.12 "," $1,417.12 "," $1,417.12 "," $1,417.12 "," $1,417.12 "," $1,417.12 "," $1,417.12 "," $1,417.12 "," $1,417.12 "," $17,005.44 ",,
 Interest , 120.00 , -   , -   , 200.00 , -   , -   , 160.00 , -   , -   , 135.00 , -   , -   , -   ,,
Dividends," 4,029.71 ", -   , -   , -   , -   , -   ," 4,029.71 ", -   , -   , -   , -   , -   ," 8,059.42 ",,
Total," $5,566.83 "," $1,417.12 "," $1,417.12 "," $1,617.12 "," $1,417.12 "," $1,417.12 "," $5,606.83 "," $1,417.12 "," $1,417.12 "," $1,552.12 "," $1,417.12 "," $1,417.12 "," $25,679.86 ",,
,,,,,,,,,,,,,,,
Expenses ,January,February,March,April,May,June,July,August,September,October,November,December,Total,,
Rent, $410.00 , $410.00 , $410.00 , $410.00 , $410.00 , $410.00 , $410.00 , $410.00 , $410.00 , $410.00 , $410.00 , $410.00 ," $4,920.00 ",,
Food, 280.00 , 280.00 , 280.00 , 280.00 , 280.00 , 280.00 , 280.00 , 280.00 , 280.00 , 280.00 , 280.00 , 280.00 ," 3,360.00 ",,
Tuition," 1,500.00 ", -   , -   , -   , 300.00 , -   , -   ," 1,500.00 ", -   , -   , -   , -   ," 3,300.00 ",,
Books, 500.00 , -   , -   , -   , 100.00 , -   , -   , 500.00 , -   , -   , -   , -   ," 1,100.00 ",,
Entertainment, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 ," 1,200.00 ",,
Car Payment, 215.47 , 215.47 , 215.47 , 215.47 , 215.47 , 215.47 , 215.47 , 215.47 , 215.47 , 215.47 , 215.47 , 215.47 ," 2,585.64 ",,
Gas, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 ," 1,200.00 ",,
Miscellaneous, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 ," 1,200.00 ",,
Total," $3,205.47 "," $1,205.47 "," $1,205.47 "," $1,205.47 "," $1,605.47 "," $1,205.47 "," $1,205.47 "," $3,205.47 "," $1,205.47 "," $1,205.47 "," $1,205.47 "," $1,205.47 "," $18,865.64 ",,
,,,,,,,,,,,,,,,
 Net ," $2,361.36 ", $211.65 , $211.65 , $411.65 , $(188.35), $211.65 ," $4,401.36 "," $(1,788.35)", $211.65 , $346.65 , $211.65 , $211.65 ,6814.22,,
